TeamId,TeamName,SubmissionDate,Score
374295,JonathanBechtel,"2016-09-21 23:22:01",0.29518
374295,JonathanBechtel,"2016-09-22 17:36:47",0.16242
374295,JonathanBechtel,"2016-09-22 17:42:08",0.12533
374295,JonathanBechtel,"2016-09-23 13:12:59",0.12407
374295,JonathanBechtel,"2016-09-23 14:22:32",0.12325
375510,ShudharsananMuthuraj,"2016-09-24 18:38:06",0.14690
375510,ShudharsananMuthuraj,"2016-09-25 03:30:56",0.13024
374295,JonathanBechtel,"2016-09-26 14:12:41",0.12157
374295,JonathanBechtel,"2016-09-26 14:20:16",0.12095
374295,JonathanBechtel,"2016-09-27 13:17:26",0.11880
374295,JonathanBechtel,"2016-09-28 11:37:19",0.11801
374295,JonathanBechtel,"2016-09-28 12:05:54",0.11716
374295,JonathanBechtel,"2016-09-30 00:05:25",0.11713
375510,ShudharsananMuthuraj,"2016-10-04 02:25:25",0.12780
374295,JonathanBechtel,"2016-10-06 14:16:27",0.11671
374295,JonathanBechtel,"2016-10-06 14:29:45",0.11668
374295,JonathanBechtel,"2016-10-07 00:27:40",0.11666
374295,JonathanBechtel,"2016-10-07 14:08:26",0.11666
374295,JonathanBechtel,"2016-10-07 14:18:11",0.11600
374295,JonathanBechtel,"2016-10-08 12:21:08",0.11600
436466,alexisb,"2016-12-21 21:17:36",0.12870
449976,Christian,"2017-01-15 18:08:12",0.12450
449976,Christian,"2017-01-15 19:51:07",0.12272
452230,LeroyPierre,"2017-01-19 12:20:18",0.13859
452230,LeroyPierre,"2017-01-19 16:58:15",0.13483
457911,naoki02,"2017-01-28 09:57:23",0.15797
457911,naoki02,"2017-01-28 10:44:11",0.15678
457911,naoki02,"2017-01-28 11:22:02",0.15122
457911,naoki02,"2017-01-28 12:16:59",0.14858
457911,naoki02,"2017-01-28 12:22:59",0.14721
449976,Christian,"2017-02-27 12:51:08",0.12265
449976,Christian,"2017-02-27 13:10:21",0.12099
535728,"Andrii Bereznikov","2017-03-12 19:29:25",0.24983
535728,"Andrii Bereznikov","2017-03-12 20:06:50",0.20721
535728,"Andrii Bereznikov","2017-03-12 20:08:23",0.20704
539587,"Nishant Bhadauria","2017-03-14 12:46:59",0.27672
539587,"Nishant Bhadauria","2017-03-14 13:07:49",0.25900
566393,"Albert Y. Kim","2017-04-01 19:04:24",0.20108
600537,"Ian Chu Te","2017-04-09 15:52:20",0.12564
600537,"Ian Chu Te","2017-04-09 15:59:12",0.11990
600537,"Ian Chu Te","2017-04-09 16:04:42",0.11615
604443,Yerik,"2017-04-21 16:07:22",0.13295
604443,Yerik,"2017-04-22 13:26:00",0.13253
604443,Yerik,"2017-04-22 14:11:39",0.12883
604443,Yerik,"2017-04-22 14:12:20",0.12559
604443,Yerik,"2017-04-29 10:26:42",0.12547
645915,Madis_Lemsalu,"2017-05-01 14:27:51",11.41961
648786,Mudbloods,"2017-05-14 21:14:34",9.45410
648786,Mudbloods,"2017-05-15 17:56:29",0.16845
715081,"Naruhiko Nakanishi","2017-06-04 10:48:15",0.13808
645915,Madis_Lemsalu,"2017-06-08 18:32:08",0.12582
619227,GoKagglers,"2017-06-21 11:14:20",0.12086
546808,takenotabi,"2017-07-12 08:36:07",0.40890
539587,"Nishant Bhadauria","2017-08-13 05:37:28",0.25408
851666,optimized,"2017-08-13 18:16:18",0.12391
851666,optimized,"2017-08-13 18:56:55",0.12086
